period,paragraph_length
2006,436
2006,21
2006,18
2006,47
2006,101
2006,57
2006,46
2006,84
2006,23
2006,73
2006,37
2006,64
2006,5
2006,4
2006,39
2006,43
2006,27
2006,67
2006,55
2006,46
2006,33
2006,15
2006,35
2006,31
2006,50
2006,62
2006,25
2006,78
2006,63
2006,60
2006,63
2006,853
2006,171
2006,3
2006,4
2006,46
2006,53
2006,64
2006,43
2006,58
2006,17
2006,64
2006,53
2006,77
2006,2
2006,4
2006,2
2006,12
2006,2
2006,78
2006,73
2006,39
2006,77
2006,83
2006,113
2006,63
2006,22
2006,2
2006,71
2006,19
2006,3
2006,56
2006,39
2006,70
2006,40
2006,90
2006,93
2006,74
2006,16
2006,102
2006,53
2006,12
2006,121
2006,113
2006,2
2006,69
2006,8
2006,124
2006,43
2006,61
2006,74
2006,500
2006,171
2006,342
2006,115
2006,87
2006,24
2006,3
2006,71
2006,5
2006,37
2006,470
2006,118
2006,20
2006,198
2006,13
2006,3
2006,315
2006,176
2006,17
2006,417
2006,146
2006,319
2006,428
2006,70
2006,332
2006,201
2006,358
2006,83
2006,80
2006,458
2006,199
2006,46
2006,43
2006,56
2006,123
2006,23
2006,81
2006,134
2006,11
2006,72
2006,85
2006,127
2006,95
2006,96
2006,13
2006,58
2006,72
2006,82
2006,291
2006,38
2006,17
2006,76
2006,82
2006,94
2006,159
2006,26
2006,12
2006,149
2006,27
2006,20
2006,26
2006,47
2006,55
2006,28
2006,212
2006,150
2006,76
2006,3
2006,5
2006,57
2006,24
2006,104
2006,196
2006,114
2006,219
2006,21
2006,89
2006,8
2006,86
2006,383
2006,445
2006,186
2006,364
2006,267
2006,82
2006,4
2006,41
2006,30
2006,4
2006,24
2006,40
2006,35
2006,13
2006,79
2006,48
2006,90
2006,41
2006,69
2006,45
2006,87
2006,2
2006,4
2006,2
2006,12
2006,2
2006,12
2006,3
2006,34
2006,14
2006,20
2006,13
2006,80
2006,38
2006,43
2006,4
2006,87
2006,38
2006,24
2006,2
2006,68
2006,96
2006,15
2006,3
2006,71
2006,46
2006,10
2006,79
2006,3
2006,2
2006,73
2006,94
2006,181
2006,85
2006,105
2006,52
2006,337
2006,33
2006,17
2006,334
2006,28
2006,669
2006,36
2006,46
2006,4
2006,15
2006,133
2006,47
2006,69
2006,40
2006,53
2006,8
2006,4
2006,40
2006,46
2006,25
2006,129
2006,5
2006,11
2006,63
2006,33
2006,41
2006,293
2006,56
2007,2
2007,54
2007,83
2007,16
2007,3
2007,32
2007,1067
2007,7
2007,56
2007,32
2007,21
2007,32
2007,81
2007,22
2007,114
2007,26
2007,46
2007,7
2007,5
2007,5
2007,65
2007,88
2007,11
2007,42
2007,14
2007,7
2007,10
2007,65
2007,23
2007,45
2007,26
2007,55
2007,83
2007,14
2007,25
2007,67
2007,54
2007,61
2007,92
2007,41
2007,66
2007,73
2007,120
2007,85
2007,123
2007,52
2007,48
2007,39
2007,102
2007,32
2007,2
2007,167
2007,5
2007,242
2007,108
2007,65
2007,22
2007,38
2007,62
2007,18
2007,69
2007,22
2007,35
2007,90
2007,44
2007,127
2007,69
2007,92
2007,40
2007,74
2007,35
2007,12
2007,42
2007,38
2007,67
2007,73
2007,23
2007,22
2007,35
2007,119
2007,24
2007,93
2007,59
2007,54
2007,101
2007,10
2007,3
2007,55
2007,67
2007,86
2007,68
2007,7
2007,35
2007,58
2007,36
2007,105
2007,75
2007,14
2007,3
2007,25
2007,25
2007,11
2007,84
2007,10
2007,74
2007,94
2007,77
2007,42
2007,18
2007,21
2007,71
2007,25
2007,48
2007,25
2007,5
2007,9
2007,9
2007,87
2007,55
2007,85
2007,119
2007,36
2007,86
2007,85
2007,43
2007,25
2007,84
2007,4
2007,11
2007,19
2007,16
2007,22
2007,49
2007,24
2007,76
2007,78
2007,30
2007,52
2007,70
2007,6
2007,90
2007,72
2007,127
2007,84
2007,60
2007,8
2007,59
2007,57
2007,19
2007,6
2007,16
2007,47
2007,95
2007,35
2007,83
2007,12
2007,171
2007,90
2007,75
2007,74
2007,4
2007,20
2007,6
2007,12
2007,57
2007,39
2007,10
2007,87
2007,80
2007,5
2007,5
2007,47
2007,5
2007,30
2007,79
2007,15
2007,48
2007,84
2007,54
2007,68
2007,92
2007,38
2007,122
2007,4
2007,379
2007,66
2007,45
2007,49
2007,97
2007,50
2007,9
2007,119
2007,64
2007,121
2007,37
2007,10
2007,40
2007,10
2007,22
2007,86
2007,24
2007,79
2007,34
2007,14
2007,33
2007,12
2007,97
2007,66
2007,49
2007,57
2007,28
2007,325
2007,23
2007,34
2007,40
2007,43
2007,52
2007,92
2007,110
2007,103
2007,90
2007,86
2007,73
2007,78
2007,74
2007,75
2007,14
2007,23
2007,52
2007,27
2007,22
2007,30
2007,103
2007,70
2007,30
2007,8
2007,17
2007,17
2007,11
2007,86
2007,202
2007,36
2007,13
2007,29
2007,90
2007,3
2007,2
2007,19
2007,50
2007,45
2007,81
2007,138
2007,40
2007,194
2007,86
2007,44
2007,4
2007,24
2007,25
2007,5
2007,11
2007,6
2007,8
2007,136
2007,55
2007,115
2007,3
2007,64
2007,25
2007,6
2007,3
2007,31
2007,63
2007,49
2007,404
2007,68
2007,38
2007,31
2007,37
2007,21
2007,24
2007,55
2007,78
2007,146
2007,48
2007,35
2007,114
2007,91
2007,76
2007,57
2007,122
2007,60
2007,34
2007,121
2007,32
2007,15
2007,58
2007,53
2007,91
2007,56
2007,75
2007,92
2007,74
2007,45
2007,12
2007,19
2007,170
2007,45
2007,36
2007,34
2007,12
2007,23
2007,19
2007,13
2007,127
2007,76
2007,61
2007,48
2007,16
2007,82
2007,37
2007,22
2007,52
2007,40
2007,2
2007,6
2007,35
2007,42
2007,70
2007,38
2007,33
2007,93
2007,79
2007,8
2007,3
2007,79
2007,86
2007,4
2007,12
2007,60
2007,35
2007,68
2007,12
2007,4
2007,127
2007,15
2007,64
2007,61
2007,61
2007,37
2007,137
2007,32
2007,40
2007,80
2007,99
2007,43
2007,23
2007,12
2007,6
2007,32
2007,24
2007,79
2007,78
2007,90
2007,51
2007,6
2007,63
2007,72
2007,73
2007,92
2007,31
2007,4
2007,47
2007,6
2007,49
2007,5
2007,32
2007,8
2007,27
2007,15
2007,3
2007,34
2007,118
2007,54
2007,133
2007,43
2007,40
2007,39
2007,66
2007,76
2007,67
2007,3
2007,76
2007,57
2007,2
2007,1
2007,2
2007,2
2007,2
2007,31
2007,3844
2007,52
2007,72
2007,52
2007,21
2007,38
2007,41
2007,106
2007,103
2007,94
2007,61
2007,208
2007,33
2007,38
2007,153
2007,48
2007,30
2007,52
2007,39
2007,91
2007,50
2007,70
2007,83
2007,132
2007,2
2007,1
2007,2
2007,2
2007,14
2007,2
2007,2
2007,27
2007,2
2007,2
2007,2
2007,304
2007,45
2007,81
2007,6
2007,51
2007,71
2007,89
2007,48
2007,115
2007,68
2007,88
2007,30
2007,52
2007,63
2007,33
2007,198
2007,52
2007,105
2007,93
2007,106
2007,96
2007,46
2007,35
2007,102
2007,24
2007,148
2007,61
2007,132
2007,36
2007,111
2007,40
2007,45
2007,20
2007,19
2007,86
2007,40
2007,93
2007,100
2007,187
2007,62
2007,41
2007,10
2007,32
2007,50
2007,61
2007,60
2007,136
2007,45
2007,33
2007,34
2007,103
2007,8
2007,14
2007,11
2007,2
2007,15
2007,18
2007,3
2007,4
2007,28
2007,35
2007,101
2007,104
2007,100
2007,78
2007,139
2007,81
2007,39
2007,64
2007,112
2007,3
2007,68
2007,59
2007,84
2007,124
2007,113
2007,65
2007,120
2007,76
2007,31
2007,11
2007,12
2007,81
2007,28
2007,25
2007,25
2007,22
2007,37
2007,71
2007,163
2007,69
2007,8
2007,84
2007,56
2007,61
2007,70
2007,51
2007,78
2007,10
2007,39
2007,37
2007,6
2007,59
2007,17
2007,87
2007,98
2007,28
2007,40
2007,125
2007,39
2007,140
2007,56
2007,49
2007,36
2007,80
2007,145
2007,63
2007,66
2007,74
2007,137
2007,110
2007,53
2007,113
2007,63
2007,127
2007,56
2007,76
2007,57
2007,14
2007,52
2007,15
2007,3
2007,8
2007,4
2007,10
2007,72
2007,17
2007,378
2007,6
2007,48
2007,47
2007,53
2007,11
2007,81
2007,75
2007,126
2007,73
2007,28
2007,70
2007,26
2007,36
2007,70
2007,6
2007,86
2007,89
2007,45
2007,31
2007,53
2007,7
2007,8
2007,8
2007,6
2007,53
2007,81
2007,10
2007,2
2007,66
2007,35
2007,18
2007,31
2007,11
2007,30
2007,5
2007,128
2007,46
2007,1
2007,56
2007,33
2007,110
2007,27
2007,89
2007,2
2007,2
2007,2
2007,1
2007,4
2007,2
2007,123
2007,67
2007,63
2007,13
2007,3
2007,4
2007,20
2007,58
2007,49
2007,4
2007,87
2007,88
2007,22
2007,31
2007,89
2007,127
2007,54
2007,86
2007,81
2007,139
2007,69
2007,72
2007,22
2007,107
2007,37
2007,78
2007,56
2007,37
2007,114
2007,48
2007,53
2007,41
2007,53
2007,2
2007,63
2007,30
2007,37
2007,7
2007,43
2007,96
2007,64
2007,140
2007,61
2007,11
2007,26
2007,16
2007,136
2007,53
2007,27
2007,32
2007,97
2007,130
2007,90
2007,144
2007,78
2007,87
2007,50
2007,34
2007,35
2007,14
2007,53
2007,98
2007,45
2007,6
2007,124
2007,67
2007,79
2007,55
2007,55
2007,45
2007,88
2007,122
2007,68
2007,200
2007,57
2007,43
2007,9
2007,41
2007,57
2007,40
2007,3
2007,55
2007,49
2007,44
2007,41
2007,118
2007,83
2007,55
2007,60
2007,31
2007,18
2007,65
2007,47
2007,72
2007,79
2007,29
2007,25
2007,24
2007,2
2007,6
2007,3
2007,43
2007,29
2007,67
2007,10
2007,24
2007,4
2007,34
2007,67
2007,123
2007,143
2007,52
2007,121
2007,58
2007,101
2007,31
2007,16
2007,107
2007,2
2007,6
2007,40
2007,30
2007,83
2007,91
2007,40
2007,62
2007,295
2007,44
2007,88
2007,102
2007,93
2007,95
2007,120
2007,4
2007,4
2007,24
2007,76
2007,58
2007,34
2007,53
2007,10
2007,46
2007,61
2007,57
2007,52
2007,85
2007,46
2007,56
2007,44
2007,25
2007,48
2007,2
2007,65
2007,28
2007,81
2007,126
2007,101
2007,61
2007,126
2007,74
2007,47
2007,83
2007,5
2007,3
2007,8
2007,27
2007,40
2007,49
2007,41
2007,91
2007,64
2007,31
2007,68
2007,43
2007,3
2007,37
2007,410
2007,46
2007,27
2007,39
2007,38
2007,42
2007,18
2007,5
2007,39
2007,46
2007,17
2007,139
2007,38
2007,48
2007,70
2007,52
2007,163
2007,114
2007,93
2007,53
2007,4
2007,8
2007,80
2007,57
2007,85
2007,19
2007,5
2007,20
2007,2
2007,26
2007,47
2007,4
2007,18
2007,27
2007,63
2007,6
2007,38
2007,29
2007,19
2007,82
2007,35
2007,4
2007,3
2007,14
2007,7
2007,6
2007,10
2007,19
2007,48
2007,14
2007,5
2007,32
2007,45
2007,21
2007,32
2007,64
2007,122
2007,132
2007,127
2007,47
2007,20
2007,4
2007,41
2007,4
2007,28
2007,4
2007,3
2007,31
2007,79
2007,66
2007,74
2007,3
2007,7
2007,24
2007,88
2007,87
2007,96
2007,52
2007,24
2007,158
2007,114
2007,89
2007,41
2007,26
2007,49
2007,134
2007,32
2007,122
2007,36
2007,58
2007,33
2007,2
2007,5
2007,8
2007,21
2007,38
2007,26
2007,86
2007,21
2007,23
2007,62
2007,44
2007,148
2007,89
2007,159
2007,89
2007,94
2007,30
2007,64
2007,38
2007,67
2007,60
2007,17
2007,20
2007,24
2007,47
2007,98
2007,58
2007,33
2007,23
2007,95
2007,59
2007,60
2007,13
2007,3
2007,39
2007,48
2007,87
2007,85
2007,90
2007,71
2007,49
2007,121
2007,8
2007,28
2007,70
2007,81
2007,20
2007,271
2007,25
2007,20
2007,31
2007,39
2007,17
2007,62
2007,29
2007,4
2007,37
2007,39
2007,97
2007,12
2007,61
2007,59
2007,113
2007,32
2007,16
2007,144
2007,141
2007,193
2007,107
2007,27
2007,111
2007,109
2007,69
2007,93
2007,72
2007,55
2007,115
2007,33
2007,190
2007,123
2007,90
2007,143
2007,73
2007,95
2007,91
2007,123
2007,5
2007,70
2007,183
2007,66
2007,38
2007,111
2007,118
2007,10
2007,5
2007,34
2007,80
2007,147
2007,60
2007,210
2007,75
2007,30
2007,5
2007,84
2007,69
2007,171
2007,78
2007,9
2007,11
2007,17
2007,26
2007,19
2007,40
2007,83
2007,48
2007,120
2007,76
2007,87
2007,113
2007,47
2007,78
2007,30
2007,80
2007,8
2007,114
2007,74
2007,117
2007,15
2007,7
2007,38
2007,16
2007,4
2007,99
2007,52
2007,109
2007,8
2007,14
2007,187
2007,19
2007,48
2007,5
2007,23
2007,2
2007,2
2007,17
2007,2
2007,14
2007,137
2007,9
2007,120
2007,85
2007,109
2007,3
2007,39
2007,2
2007,2
2007,2
2007,2
2007,20
2007,3
2007,130
2007,35
2007,82
2007,90
2007,3
2007,88
2007,63
2007,137
2007,11
2007,48
2007,186
2007,2
2007,140
2007,103
2007,71
2007,90
2007,26
2007,15
2007,37
2007,126
2007,94
2007,59
2007,39
2007,67
2007,19
2007,111
2007,33
2007,34
2007,85
2007,87
2007,63
2007,150
2007,51
2007,93
2007,72
2007,42
2007,100
2007,70
2007,35
2007,97
2007,6
2007,100
2007,25
2007,72
2007,109
2007,31
2007,37
2007,41
2007,23
2007,26
2007,31
2007,133
2007,66
2007,61
2007,16
2007,53
2007,14
2007,66
2007,37
2007,97
2007,53
2007,31
2007,45
2007,18
2007,55
2007,44
2007,6
2007,5
2007,3
2007,18
2007,15
2007,85
2007,89
2007,29
2007,86
2007,11
2007,20
2007,107
2007,22
2007,126
2007,106
2007,3
2007,79
2007,94
2007,77
2007,86
2007,117
2007,142
2007,94
2007,23
2007,2
2007,11
2007,316
2007,4
2007,42
2007,70
2007,60
2007,58
2007,75
2007,102
2007,25
2007,383
2007,29
2007,11
2007,31
2007,6
2007,15
2007,12
2007,63
2007,10
2007,58
2007,31
2007,61
2007,106
2007,11
2007,19
2007,41
2007,142
2007,77
2007,86
2007,85
2007,663
2007,44
2007,18
2007,381
2007,68
2007,53
2007,72
2007,5
2007,14
2007,7
2007,59
2007,51
2007,13
2007,35
2007,105
2007,35
2007,47
2007,33
2007,82
2007,5
2007,118
2007,27
2007,89
2007,15
2007,49
2007,76
2007,61
2007,34
2007,79
2007,93
2007,75
2007,112
2007,156
2007,68
2007,94
2007,6
2007,31
2007,65
2007,69
2007,71
2007,46
2007,12
2007,142
2007,5
2007,15
2007,24
2007,50
2007,91
2007,57
2007,34
2007,14
2007,84
2007,66
2007,97
2007,64
2007,90
2007,36
2007,3
2007,49
2007,51
2007,8
2007,76
2007,81
2007,8
2007,31
2007,36
2007,28
2007,9
2007,26
2007,46
2007,79
2007,57
2007,43
2007,9
2007,42
2007,102
2007,77
2007,109
2007,45
2007,60
2007,57
2007,3
2007,22
2007,69
2007,95
2007,82
2007,77
2007,98
2007,62
2007,87
2007,93
2007,4
2007,62
2007,103
2007,74
2007,2
2007,94
2007,95
2007,18
2007,6
2007,5
2007,2
2007,7
2007,44
2007,103
2007,92
2007,49
2007,111
2007,80
2007,90
2007,80
2007,10
2007,52
2007,27
2007,88
2007,33
2007,8
2007,16
2007,41
2007,52
2007,53
2007,77
2007,60
2007,44
2007,23
2007,8
2007,33
2007,3
2007,8
2007,34
2007,7
2007,3
2007,5
2007,21
2007,66
2007,71
2007,113
2007,74
2007,52
2007,85
2007,11
2007,26
2007,9
2007,32
2007,11
2007,27
2007,21
2007,5
2007,13
2007,20
2007,22
2007,12
2007,17
2007,17
2007,44
2007,12
2007,11
2007,19
2007,37
2007,48
2007,217
2007,4
2007,3
2007,6
2007,38
2007,180
2007,86
2007,82
2007,28
2007,15
2007,146
2007,65
2007,75
2007,9
2007,59
2007,70
2007,9
2007,53
2007,7
2007,97
2007,23
2007,19
2007,29
2007,9
2007,21
2007,14
2007,28
2007,101
2007,6
2007,28
2007,34
2007,67
2007,25
2007,51
2007,70
2007,3
2007,117
2007,5
2007,47
2007,41
2007,67
2007,31
2007,2
2007,13
2007,38
2007,10
2007,2
2007,129
2007,13
2007,37
2007,43
2007,44
2007,72
2007,62
2007,35
2007,48
2007,65
2007,14
2007,74
2007,14
2007,13
2007,56
2007,27
2007,6
2007,35
2007,64
2007,47
2007,45
2007,17
2007,12
2007,17
2007,103
2007,26
2007,37
2007,59
2007,53
2007,96
2007,88
2007,47
2007,17
2007,5
2007,37
2007,68
2007,32
2007,7
2007,16
2007,6
2007,13
2007,35
2007,66
2007,466
2007,2
2007,108
2007,18
2007,52
2007,79
2007,57
2007,18
2007,3
2007,8
2007,27
2007,361
2007,19
2007,52
2007,5
2007,54
2007,118
2007,58
2007,77
2007,25
2007,39
2007,45
2007,57
2007,4
2007,78
2007,27
2007,24
2007,76
2007,34
2007,53
2007,44
2007,85
2007,39
2007,154
2007,34
2007,29
2007,126
2007,42
2007,5
2007,6
2007,4
2007,81
2007,70
2007,107
2007,113
2007,104
2007,28
2007,56
2007,38
2007,85
2007,51
2007,125
2007,53
2007,34
2007,3
2007,26
2007,47
2007,23
2007,63
2007,129
2007,102
2007,13
2007,124
2007,138
2007,82
2007,112
2007,56
2007,53
2007,17
2007,37
2007,46
2007,85
2007,122
2007,54
2007,63
2007,51
2007,65
2007,31
2007,50
2007,31
2007,241
2007,95
2007,6
2007,29
2007,51
2007,98
2007,115
2007,103
2007,12
2007,285
2007,125
2007,35
2007,97
2007,4
2007,49
2007,18
2007,50
2007,72
2007,68
2007,64
2007,59
2007,51
2007,6
2007,54
2007,47
2007,19
2007,49
2007,5
2007,19
2007,34
2007,65
2007,50
2007,64
2007,60
2007,105
2007,48
2007,20
2007,2
2007,87
2007,6
2007,16
2007,89
2007,114
2007,27
2007,12
2007,3
2007,57
2007,3
2007,7
2007,67
2007,100
2007,32
2007,62
2007,63
2007,136
2007,106
2007,28
2007,17
2007,105
2007,10
2007,5
2007,23
2007,60
2007,10
2007,68
2007,94
2007,15
2007,13
2007,15
2007,22
2007,9
2007,45
2007,13
2007,77
2007,81
2007,18
2007,63
2007,58
2007,63
2007,63
2007,4
2007,50
2007,74
2007,64
2007,13
2007,9
2007,10
2007,8
2007,14
2007,24
2007,55
2007,20
2007,15
2007,24
2007,65
2007,19
2007,63
2007,94
2007,74
2007,40
2007,77
2007,100
2007,85
2007,66
2007,5
2007,54
2007,44
2007,72
2007,71
2007,37
2007,48
2007,35
2007,72
2007,25
2007,22
2007,50
2007,55
2007,100
2007,20
2007,74
2007,83
2007,28
2007,45
2007,14
2007,22
2007,78
2007,118
2007,95
2007,70
2007,61
2007,83
2007,53
2007,68
2007,24
2007,63
2007,16
2007,2
2007,8
2007,9
2007,43
2007,48
2007,100
2007,19
2007,46
2007,59
2007,5
2007,132
2007,3
2007,56
2007,30
2007,4
2007,13
2007,28
2007,132
2007,78
2007,43
2007,55
2007,78
2007,89
2007,71
2007,42
2007,17
2007,97
2007,77
2007,161
2007,95
2007,108
2007,65
2007,20
2007,49
2007,48
2007,91
2007,24
2007,26
2007,23
2007,32
2007,4
2007,35
2007,6
2007,8
2007,30
2007,108
2007,136
2007,44
2007,126
2007,106
2007,3
2007,57
2007,87
2007,42
2007,13
2007,259
2007,42
2007,70
2007,89
2007,56
2007,60
2007,23
2007,58
2007,64
2007,66
2007,10
2007,4
2007,2
2007,10
2007,4
2007,2
2007,15
2007,134
2007,28
2007,81
2007,79
2007,70
2007,8
2007,74
2007,92
2007,40
2007,237
2007,53
2007,110
2007,71
2007,24
2007,18
2007,20
2007,31
2007,7
2007,150
2007,63
2007,21
2007,23
2007,120
2007,86
2007,73
2007,98
2007,47
2007,23
2007,288
2007,6
2007,8
2007,69
2007,128
2007,68
2007,81
2007,69
2007,31
2007,13
2007,4
2007,70
2007,94
2007,7
2007,100
2007,14
2007,35
2007,72
2007,32
2007,38
2007,70
2007,36
2007,72
2007,14
2007,62
2007,76
2007,66
2007,28
2007,18
2007,70
2007,68
2007,64
2007,49
2007,120
2007,27
2007,48
2007,42
2007,1
2007,36
2007,19
2007,13
2007,5
2007,32
2007,66
2007,105
2007,13
2007,139
2007,30
2007,425
2007,96
2007,84
2007,95
2007,60
2007,45
2007,14
2007,27
2007,69
2007,57
2007,42
2007,45
2007,13
2007,7
2007,67
2007,154
2007,39
2007,19
2007,16
2007,112
2007,89
2007,111
2007,28
2007,70
2007,48
2007,146
2007,52
2007,160
2007,108
2007,48
2007,30
2007,132
2007,50
2007,114
2007,75
2007,99
2007,9
2008,78
2008,58
2008,29
2008,53
2008,124
2008,69
2008,143
2008,22
2008,99
2008,8
2008,44
2008,72
2008,3
2008,66
2008,71
2008,106
2008,55
2008,89
2008,132
2008,2
2008,90
2008,66
2008,85
2008,4
2008,33
2008,56
2008,83
2008,105
2008,88
2008,144
2008,20
2008,33
2008,98
2008,98
2008,38
2008,96
2008,41
2008,19
2008,126
2008,129
2008,84
2008,60
2008,136
2008,107
2008,69
2008,59
2008,97
2008,198
2008,116
2008,138
2008,4
2008,5
2008,39
2008,9
2008,3
2008,31
2008,68
2008,58
2008,105
2008,69
2008,261
2008,119
2008,110
2008,102
2008,21
2008,139
2008,28
2008,88
2008,70
2008,101
2008,48
2008,18
2008,79
2008,35
2008,56
2008,76
2008,38
2008,42
2008,62
2008,120
2008,129
2008,66
2008,5
2008,33
2008,43
2008,55
2008,45
2008,43
2008,30
2008,91
2008,16
2008,22
2008,23
2008,42
2008,4
2008,22
2008,71
2008,74
2008,48
2008,6
2008,35
2008,57
2008,51
2008,93
2008,43
2008,2
2008,2
2008,4
2008,29
2008,51
2008,37
2008,59
2008,79
2008,7
2008,12
2008,50
2008,36
2008,3
2008,6
2008,19
2008,7
2008,66
2008,172
2008,26
2008,54
2008,55
2008,61
2008,50
2008,607
2008,54
2008,16
2008,70
2008,70
2008,43
2008,40
2008,92
2008,20
2008,57
2008,44
2008,82
2008,49
2008,41
2008,107
2008,64
2008,3
2008,10
2008,9
2008,66
2008,17
2008,33
2008,65
2008,4
2008,17
2008,18
2008,20
2008,27
2008,14
2008,43
2008,60
2008,66
2008,50
2008,183
2008,60
2008,82
2008,110
2008,92
2008,55
2008,48
2008,23
2008,124
2008,36
2008,87
2008,74
2008,69
2008,132
2008,104
2008,57
2008,114
2008,151
2008,141
2008,17
2008,46
2008,114
2008,51
2008,93
2008,91
2008,87
2008,99
2008,98
2008,55
2008,2
2008,25
2008,5
2008,70
2008,17
2008,5
2008,53
2008,56
2008,152
2008,84
2008,54
2008,66
2008,58
2008,71
2008,61
2008,30
2008,71
2008,71
2008,75
2008,28
2008,83
2008,56
2008,29
2008,73
2008,77
2008,26
2008,38
2008,34
2008,19
2008,119
2008,38
2008,122
2008,78
2008,184
2008,84
2008,47
2008,73
2008,102
2008,52
2008,35
2008,78
2008,82
2008,49
2008,106
2008,73
2008,3
2008,3
2008,4
2008,7
2008,2
2008,64
2008,46
2008,65
2008,113
2008,180
2008,43
2008,7
2008,4
2008,121
2008,16
2008,19
2008,22
2008,38
2008,182
2008,94
2008,150
2008,99
2008,73
2008,7
2008,3
2008,48
2008,52
2008,121
2008,104
2008,23
2008,6
2008,20
2008,37
2008,48
2008,116
2008,24
2008,26
2008,35
2008,98
2008,86
2008,55
2008,43
2008,113
2008,81
2008,59
2008,51
2008,53
2008,14
2008,18
2008,22
2008,69
2008,14
2008,105
2008,94
2008,58
2008,112
2008,99
2008,18
2008,58
2008,114
2008,95
2008,179
2008,131
2008,62
2008,60
2008,150
2008,106
2008,81
2008,62
2008,105
2008,103
2008,119
2008,58
2008,92
2008,18
2008,49
2008,48
2008,50
2008,43
2008,34
2008,37
2008,56
2008,76
2008,12
2008,89
2008,27
2008,79
2008,64
2008,54
2008,56
2008,89
2008,43
2008,10
2008,14
2008,38
2008,86
2008,110
2008,126
2008,109
2008,91
2008,48
2008,17
2008,70
2008,83
2008,54
2008,17
2008,10
2008,4
2008,18
2008,48
2008,53
2008,7
2008,48
2008,22
2008,56
2008,33
2008,94
2008,68
2008,8
2008,26
2008,6
2008,92
2008,63
2008,71
2008,5
2008,14
2008,53
2008,39
2008,5
2008,44
2008,87
2008,46
2008,16
2008,49
2008,55
2008,26
2008,1
2008,53
2008,39
2008,51
2008,112
2008,37
2008,64
2008,102
2008,73
2008,46
2008,60
2008,146
2008,118
2008,52
2008,24
2008,3
2008,76
2008,40
2008,42
2008,118
2008,2
2008,305
2008,17
2008,93
2008,45
2008,502
2008,31
2008,9
2008,205
2008,42
2008,96
2008,92
2008,56
2008,104
2008,83
2008,65
2008,28
2008,79
2008,31
2008,40
2008,9
2008,8
2008,21
2008,28
2008,10
2008,68
2008,31
2008,54
2008,50
2008,72
2008,71
2008,54
2008,101
2008,75
2008,91
2008,74
2008,131
2008,45
2008,146
2008,35
2008,21
2008,42
2008,47
2008,16
2008,55
2008,39
2008,104
2008,69
2008,42
2008,29
2008,52
2008,69
2008,3
2008,102
2008,4
2008,29
2008,173
2008,84
2008,81
2008,62
2008,128
2008,76
2008,5
2008,2
2008,87
2008,38
2008,58
2008,3
2008,16
2008,13
2008,16
2008,37
2008,88
2008,21
2008,57
2008,52
2008,66
2008,38
2008,92
2008,8
2008,77
2008,8
2008,53
2008,28
2008,7
2008,42
2008,54
2008,112
2008,30
2008,101
2008,90
2008,12
2008,39
2008,40
2008,113
2008,33
2008,40
2008,116
2008,123
2008,93
2008,82
2008,68
