period,emdash_per_1k,exclamation_per_1k,question_per_1k,semicolon_per_1k,colon_per_1k,comma_per_1k,ellipsis_per_1k,parentheses_per_1k,quotes_per_1k,total_words
2006-Q3,7.423117709437964,2.1208907741251326,3.1813361611876987,1.0604453870625663,3.1813361611876987,57.26405090137858,0.0,8.48356309650053,55.143160127253445,943
2006-Q4,6.481939633844632,2.6224641266699655,3.4141514101929737,0.8411677387431965,8.560118753092528,46.759030183077684,0.6927263730826324,11.429985155863434,52.59772389905987,20210
2007-Q1,5.466877156054493,2.4849441618429515,3.303514003391218,30.140910951295094,22.306028182190257,37.712681985616555,0.3800502835759808,44.31970999239899,76.15622990118692,34206
2007-Q2,9.850107066381158,2.5695931477516063,3.2119914346895078,2.78372591006424,8.279800142755176,43.112062812276946,0.3211991434689508,13.347608850820844,46.89507494646681,28020
2007-Q3,11.963680293051713,3.702116051595807,2.4161178441993685,3.3513892677604145,10.521803515061766,47.07532831923931,0.7014535676707845,12.11955886364522,49.06278009430653,25661
2007-Q4,47.81848062344272,2.2795949742882895,3.551927052960823,2.5976779939564225,8.217144674760112,43.47134602131156,0.5301383661135557,13.518528335895668,46.01601017865663,18863
2008-Q1,5.064179703168874,3.5599679101484156,3.40954673084637,2.406738868832732,7.721620537505014,43.5218612113919,0.3008423586040915,10.429201764941837,40.91456077015644,19944
2008-Q2,5.739795918367347,4.124149659863946,3.4863945578231292,1.913265306122449,8.333333333333334,46.045918367346935,0.25510204081632654,9.77891156462585,39.75340136054422,23520
2008-Q3,6.349531466024886,3.5844129243688876,3.635618823288443,1.7410005632648882,7.732090736852886,45.675661836243535,1.0241179783911107,7.578473040094219,42.09124891187465,19529
2008-Q4,7.561593751298351,3.4068719099256306,1.9527192654451786,2.035813702272633,8.226349245917985,50.47987037267855,0.8724915866882712,9.597407453570984,46.90680958909801,24069
2009-Q1,9.255433435253284,4.049252127923312,3.5534253367490285,2.6444095529295097,4.7103545161556895,47.599371952731175,0.4958267911742831,10.081811420543756,40.9883480704074,12101
2009-Q2,7.878112225938313,4.087699739873653,1.858045336306206,2.3039762170196956,5.648457822370866,43.47826086956522,0.5202526941657377,12.337421033073207,39.985135637309554,13455
2009-Q3,7.337335516342248,3.0925959614335095,3.274513370929598,4.123461281911346,8.42883997331878,44.56976532654175,0.24255654599478504,10.369292341277061,40.99205627311867,16491
2009-Q4,5.397503654559766,6.634431575396379,2.024063870459912,2.5863038344765545,7.084223546609692,44.41695715731474,0.5622399640166422,11.694591251546159,42.055549308444846,8893
2010-Q1,5.848355580019264,4.472271914132379,1.9265171322416401,2.132929682124673,7.912481078849593,50.84629145452043,0.41282509976606574,10.320627494151644,37.36067152882895,14534
2010-Q2,7.446552966610617,4.323804948354552,2.6423252462166706,4.804227720393946,8.647609896709104,46.72111458083113,0.12010569300984866,15.853951477300024,38.07350468412203,8326
2010-Q3,5.856515373352855,2.9282576866764276,5.124450951683748,1.4641288433382138,7.320644216691069,38.79941434846267,0.0,10.248901903367496,47.58418740849195,1366
2010-Q4,5.1357300073367576,2.0176082171680116,1.467351430667645,2.7512839325018343,4.9523110785033015,33.93250183418929,0.18341892883345562,6.969919295671313,33.198826118855465,5452
2011-Q1,4.456824512534819,1.7726006583945302,3.950367181564953,5.216510508989617,11.85110154469486,50.49379589769562,1.2661433274246645,23.80349455558369,47.910863509749305,19745
2011-Q2,4.625735912531539,1.682085786375105,1.682085786375105,2.1026072329688814,5.046257359125315,41.211101766190076,0.42052144659377627,7.5693860386879726,39.949537426408746,2378
2011-Q3,5.138941758660068,2.0936429387133613,2.2839741149600306,3.0452988199467073,4.377617053673392,46.63113818043396,0.5709935287400076,8.564902931100114,42.6341834792539,5254
2011-Q4,4.931972789115646,5.1020408163265305,1.1904761904761905,4.2517006802721085,5.272108843537414,41.49659863945578,0.5102040816326531,18.197278911564624,38.095238095238095,5880
2012-Q1,5.51948051948052,0.3246753246753247,1.948051948051948,2.5974025974025974,4.545454545454545,45.77922077922078,0.0,11.03896103896104,49.02597402597402,3080
2012-Q2,5.880665519219736,3.1554790590935173,3.7292025243832474,3.0120481927710845,5.3069420539300065,44.60699942627654,0.43029259896729777,11.761331038439472,33.56282271944923,6972
2012-Q3,6.670451319897814,1.7030939540164631,2.5546409310246947,2.6965654271927333,5.676979846721544,44.8481407891002,0.4257734885041158,16.179392563156398,31.791087141640645,7046
2012-Q4,6.815660168013949,3.3285782215882076,3.0115707719131404,2.060548422887938,5.706134094151213,48.343636075447776,0.3170074496750674,17.752417181803775,33.44428594071961,6309
2013-Q1,6.063055780113178,2.021018593371059,1.4820803018054434,1.0778765831312316,5.389382915656158,48.234977095122616,0.5389382915656158,15.090272163837241,35.16572352465643,7422
2013-Q2,6.635802469135802,2.9320987654320985,2.314814814814815,3.3950617283950617,5.709876543209877,46.60493827160494,0.4629629629629629,17.74691358024691,41.04938271604938,6480
2013-Q3,8.020698576972833,3.1047865459249677,2.3285899094437257,1.2936610608020698,4.915912031047865,42.432082794307895,0.258732212160414,13.454075032341526,45.278137128072444,3865
2013-Q4,5.682951146560319,3.389830508474576,2.1934197407776668,2.093718843469591,6.879361914257228,41.5752741774676,0.4985044865403788,11.76470588235294,36.590229312063805,10030
2014-Q1,5.314908317831517,1.0629816635663034,3.1889449906989102,3.720435822482062,4.51767207015679,44.11373903800159,0.0,15.4132341217114,32.68668615466383,3763
2014-Q2,6.477732793522267,2.834008097165992,2.834008097165992,0.4048582995951417,6.0728744939271255,39.27125506072874,0.0,12.955465587044534,26.31578947368421,2470
2014-Q3,1.7158544955387782,2.40219629375429,0.6863417982155113,1.3726835964310227,1.3726835964310227,46.32807137954701,0.0,8.236101578586137,29.512697323266988,2914
2014-Q4,5.436629289840299,1.868841318382603,2.5484199796126403,0.8494733265375467,7.81515460414543,45.191980971797484,1.6989466530750934,12.572205232755692,31.77030241250425,5886
2015-Q1,5.897219882055602,0.8424599831508003,1.2636899747262005,3.7910699241786014,3.369839932603201,39.17438921651221,0.0,6.739679865206402,28.64363942712721,2374
2015-Q2,3.6284470246734397,0.0,5.805515239477503,6.531204644412191,5.079825834542816,29.027576197387518,0.7256894049346879,2.9027576197387517,36.284470246734394,1378
2015-Q3,1.9342359767891684,0.6447453255963894,3.8684719535783367,0.6447453255963894,3.8684719535783367,43.84268214055448,0.0,6.447453255963894,30.947775628626694,1551
2015-Q4,2.684563758389262,0.0,0.6711409395973155,0.6711409395973155,4.026845637583893,52.348993288590606,0.0,4.697986577181208,18.79194630872483,1490
2016-Q2,1.7447657028913262,1.7447657028913262,1.7447657028913262,0.7477567298105683,2.991026919242273,46.610169491525426,0.0,3.988035892323031,29.411764705882355,4012
2016-Q3,1.1243534967393747,0.0,0.8994827973914998,2.9233190915223743,4.7222846863053745,41.82595007870474,0.0,3.1481897908702496,26.085001124353496,4447
2016-Q4,5.807200929152149,2.3228803716608595,0.0,2.3228803716608595,4.645760743321719,25.551684088269454,1.1614401858304297,16.260162601626018,41.81184668989547,861
2017-Q1,0.0,8.0,0.0,0.0,16.0,40.0,0.0,0.0,8.0,125
2017-Q2,2.4281667341157425,0.4046944556859571,3.6422501011736137,2.4281667341157425,5.2610279239174425,34.80372318899231,1.2140833670578712,7.284500202347227,21.04411169566977,2471
2017-Q4,5.706134094151213,2.8530670470756063,4.279600570613409,2.8530670470756063,4.279600570613409,51.35520684736091,0.0,5.706134094151213,24.251069900142653,701
2018-Q1,4.368932038834951,0.970873786407767,4.854368932038835,1.941747572815534,4.854368932038835,39.320388349514566,0.0,2.912621359223301,36.89320388349515,2060
2020-Q3,7.369875633348688,1.6121602947950255,2.5333947489636115,0.921234454168586,31.782588668816217,37.309995393827734,1.842468908337172,2.763703362505758,4.145555043758637,4342
2021-Q4,7.697241821680565,0.4276245456489203,1.2828736369467608,1.9243104554201413,5.772931366260424,42.33483001924311,0.4276245456489203,6.414368184733804,15.39448364336113,4677
2022-Q1,3.5599857600569598,1.6019935920256319,4.449982200071199,1.0679957280170878,50.01779992880028,32.57386970452118,0.17799928800284798,5.339978640085439,14.061943752224991,5618
2022-Q2,5.714285714285714,2.0408163265306123,5.3061224489795915,2.0408163265306123,5.714285714285714,44.48979591836735,0.40816326530612246,4.8979591836734695,32.244897959183675,2450
2022-Q3,2.452984464431725,1.6353229762878168,0.8176614881439084,5.723630417007358,4.90596892886345,43.336058871627145,0.0,9.8119378577269,40.883074407195416,1223
2022-Q4,4.871447902571042,2.706359945872801,5.953991880920162,2.165087956698241,5.953991880920162,54.12719891745602,0.2706359945872801,3.7889039242219216,26.25169147496617,3695
2023-Q1,3.8369304556354917,2.158273381294964,5.5155875299760195,1.1990407673860912,4.796163069544365,35.01199040767386,0.23980815347721823,7.6738609112709835,30.215827338129497,4170
2023-Q2,5.405405405405405,2.494802494802495,3.7422037422037424,2.9106029106029108,3.3264033264033266,37.00623700623701,0.0,6.652806652806653,42.82744282744283,2405
2023-Q4,3.004807692307692,3.605769230769231,2.4038461538461537,0.0,3.605769230769231,44.47115384615385,0.0,7.211538461538462,26.44230769230769,1664
2024-Q1,2.044989775051125,3.067484662576687,3.067484662576687,0.0,10.224948875255624,33.74233128834356,3.067484662576687,4.08997955010225,16.359918200409,978
2024-Q2,9.851301115241634,1.1152416356877324,2.7881040892193307,2.044609665427509,10.966542750929367,42.93680297397769,0.18587360594795538,10.03717472118959,27.32342007434944,5380
2024-Q3,5.176876617773943,1.5099223468507335,2.8041415012942195,0.4314063848144953,6.039689387402934,48.748921484037965,0.0,4.745470232959448,31.492666091458155,4636
2024-Q4,4.476093591047813,1.424211597151577,2.034587995930824,1.2207527975584944,4.069175991861648,56.96846388606308,0.4069175991861648,7.731434384537132,23.194303153611393,4915
2025-Q1,7.776049766718507,4.665629860031104,1.166407465007776,0.38880248833592534,8.942457231726284,47.82270606531882,0.38880248833592534,5.443234836702954,30.326594090202178,2572
2025-Q2,4.26098535286285,2.663115845539281,2.396804260985353,0.2663115845539281,2.9294274300932095,48.20239680426099,0.0,9.587217043941411,25.5659121171771,3755
2025-Q4,8.06118230673832,2.4803637866887143,1.4468788755684168,0.8267879288962381,3.3071517155849524,44.439851178172795,0.0,3.3071517155849524,24.803637866887144,4838
